RankMethod,down,ydstogo,yards_gained,first_down_rush,first_down_pass,first_down_penalty,fourth_down_failed,interception,safety,fumble_lost,play_id
Touchdown,1.0,10,47,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1960
Touchdown,1.0,10,47,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3273
Touchdown,1.0,10,47,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1309
Touchdown,1.0,10,46,0.0,1.0,0.0,0.0,0.0,0.0,0.0,138
Touchdown,1.0,10,46,0.0,1.0,0.0,0.0,0.0,0.0,0.0,810
Touchdown,3.0,3,45,0.0,1.0,0.0,0.0,0.0,0.0,0.0,879
Touchdown,2.0,9,45,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1484
Touchdown,1.0,10,45,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1539
Touchdown,2.0,5,45,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1055
Touchdown,2.0,4,45,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3105
Touchdown,3.0,2,44,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2368
Touchdown,1.0,10,44,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1464
Touchdown,1.0,10,44,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2955
Touchdown,3.0,6,43,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3110
Touchdown,2.0,13,43,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2981
Touchdown,1.0,10,43,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1113
Touchdown,1.0,10,43,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1290
Touchdown,2.0,5,43,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1284
Touchdown,2.0,4,43,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4206
Touchdown,2.0,12,42,0.0,1.0,0.0,0.0,0.0,0.0,0.0,758
Touchdown,3.0,4,42,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3827
Touchdown,1.0,15,42,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3455
Touchdown,2.0,10,41,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3915
Touchdown,3.0,2,41,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1672
Touchdown,1.0,10,41,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1196
Touchdown,1.0,10,41,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1321
Touchdown,2.0,4,41,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4139
Touchdown,3.0,1,41,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3460
Touchdown,3.0,9,40,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1807
Touchdown,3.0,9,40,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3324
Touchdown,2.0,9,40,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3529
Touchdown,3.0,2,40,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2617
Touchdown,1.0,10,40,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5133
Touchdown,3.0,10,39,0.0,1.0,0.0,0.0,0.0,0.0,0.0,598
Touchdown,3.0,3,39,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2755
Touchdown,2.0,7,39,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2923
Touchdown,1.0,10,39,0.0,1.0,0.0,0.0,0.0,0.0,0.0,170
Touchdown,1.0,10,39,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1321
Touchdown,1.0,10,39,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1330
Touchdown,1.0,10,39,0.0,1.0,0.0,0.0,0.0,0.0,0.0,326
Touchdown,1.0,10,39,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3444
Touchdown,2.0,2,39,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2775
